SpeciesID,all.biomass,OrganismType,NodeColor,NodeShape,NodeName,TrophicLevel,Description,ImageFile,Caption,ImageSource,ImageLiscence
118,4.5752376,Fish,Blue-7,Circle,Topsmelt,4.435691704,"Topsmelt is a small fish species found in bays and estuaries, among other coastal ecosystems. This species is targeted by commercial fisheries but is considered to have a stable population size.",topsmelt.png,Topsmelt Silverside on towel.,Theo Modder,Free to copy and adapt with credit
120,0.0449312,Fish,Blue-7,Circle,Shiner Surfperch,5.418340584,"Shiner surfperch are non-migratory fish that live in marine and brackish (slightly salty, occuring where salt and fresh water meet) waters. There are small commercial fisheries that target this species, and it is occasionally used as bait by recreational fishers. This species is vulnerable to habitat loss.",surfperch.jpg,Shiner Surfperch swimming.,David Stang,Free to copy and adapt with credit
125,0.2618094,Fish,Blue-7,Circle,Diamond Turbot,5.766270215,"Diamond Turbot is a type of flatfish that occurs in coastal and brackish waters, living on muddy and sandy bottoms. They are not commercially targeted, but some recreational fishers may target this specices. It is not considered to be vulnerable. ",turbot.jpg,Windowpane flounder laying on table. Similar species to Diamond turbot.,Matthieu Godbout (assumed based on copyright),Free to copy and adapt with credit
132,0.1536856,Fish,Blue-7,Circle,California Halibut,6.076300976,California Halibut is a large species of flatfish that lives on the Pacific Coast of the United States. This species is targeted by both commercial and recreational fisheries. It is considered to be vulnerable to the loss of critical nursery habitat.,halibut.jpg,Three men standing next two many of the California Halibut that they caught.,Kolmkolm,Free to copy and adapt with credit
139,0.0863925,Fish,Blue-7,Circle,Leopard Shark,5.986209354,"Leopard sharks are a small species of shark that lives in shallow waters in the Pacific Coast of the United States. It is targeted by both commercial and recreational fisheries, and is susceptible to overfishing.",leo-shark.jpg,Leopard shark in sand.,Clark Anderson,Free to copy and adapt with credit
140,0.0284862,Bird,Maroon-11,Circle,Haller's Round Ray,5.635856141,Haller's Round Ray is a species of stingray that lives in shallow coastal waters along the coast of California. Its range extends south to Ecuador. There a some fisheries that target this species but it is generally not considered vulnerable. ,Urabotis.jpg,"Yellow stingray, a species of stingray close to Haller's Round Ray.",David Stang,Free to copy and adapt with credit
141,0.0151609,Bird,Maroon-11,Circle,American Avocet,6.152020747,"The American Avocet is a migrating bird that occurs in the Western half of the United States. This bird is generally stable but is vulnerable to climate change impacts, especially in their salt marsh habitats.",avocet.jpg,Two American Avocets standing in water.,Raymond M. Coveney,Free to copy and adapt with credit
143,0.0922059,Bird,Maroon-11,Circle,American Coot,3.976865173,"The American Coot is considered to be an adaptable waterbird with a range covering most of the United States, extending into Canada and Mexico. It has a low vulnerability status.",amer-coot.jpg,American Coot getting ready to take flight from water.,fletchershauna at Pixabay,Free for commercial use
144,0.0013822,Bird,Maroon-11,Circle,American Crow,5.550742098,The American Crow is considered one of the most intelligent birds and is widespread across the United States. This species has a low vulnerability status.,crow.jpg,American Crow standing on a branch.,Jasmin_Sessler at Pixabay,Free for commercial use
145,0.0674677,Bird,Maroon-11,Circle,American Wigeon,4.858231854,The American Wigeon is a species of duck. It is considered to be moderately vulnerable to climate change.,amer-wigeon.jpg,American Wigeon sitting in water.,Alan Wilson,Free for commercial use
146,0.0063977,Bird,Maroon-11,Circle,Black-bellied Plover,5.946935434,"The Black-bellied plover spends winter on the Pacific coast of the United States. In the summers, it lives in Northern Canada. This species is highly vulnerable to climate change. ",bb-plover.jpg,Black-bellied Plover standing in field.,Caleb Putnam,Free to copy and adapt with credit
147,0.0300871,Bird,Maroon-11,Circle,Black-crowned Night Heron,6.277898381,The Black-crowned Night Heron can be found across the United States and is vulnerable to water pollution and habitat loss.,night-heron.jpg,Black-crowned Night Heron standing on rock.,lucas_pego at Pixabay,Free for commercial use
